           0   0.000000
       10000  -1.408494
       20000  -2.087190
       30000  -2.225958
       40000  -2.114678
       50000  -0.885535
       60000  -1.889129
       70000  -1.339247
       80000  -1.599358
       90000  -1.355851
      100000   0.000000
      110000   0.000000
      120000  -1.458876
      130000  -0.463672
      140000  -0.000000
      150000   0.000000
      160000   0.000000
      170000  -0.530059
      180000   0.000000
      190000  -0.526686
      200000   0.000000
