           0   0.000000
       10000  -2.045460
       20000 -10.366458
       30000 -22.483477
       40000 -23.226262
       50000 -25.208570
       60000 -25.289469
       70000 -26.163591
       80000 -24.315865
       90000 -18.835859
      100000 -18.974246
      110000 -21.236022
      120000 -22.668562
      130000 -24.670786
      140000 -16.580959
      150000 -20.652171
      160000 -21.303917
      170000 -28.544509
      180000 -29.834522
      190000 -28.781860
      200000 -34.622936
