           0   0.000000
       10000  -2.858440
       20000  -3.053494
       30000  -4.330296
       40000  -2.759048
       50000  -3.061650
       60000  -2.959660
       70000  -8.221054
       80000  -1.883507
       90000  -7.547990
      100000  -7.381291
      110000  -8.268967
      120000  -6.692533
      130000  -7.438112
      140000  -7.048548
      150000  -4.059585
      160000  -8.904207
      170000 -10.024369
      180000  -7.857156
      190000 -14.062922
      200000 -10.053065
