           0   0.000000
       10000  -1.556719
       20000  -1.621204
       30000  -0.041545
       40000  -1.948994
       50000  -0.000003
       60000  -0.794880
       70000  -0.116480
       80000  -0.530383
       90000   0.000000
      100000  -2.095804
      110000  -3.080234
      120000  -4.072824
      130000  -4.170628
      140000  -6.117774
      150000  -4.790345
      160000  -4.527973
      170000  -5.290725
      180000  -6.289663
      190000  -7.205719
      200000  -4.597923
