           0   0.000000
       10000  -4.417482
       20000  -7.015440
       30000  -4.010415
       40000  -6.781268
       50000 -13.955611
       60000 -13.368619
       70000 -17.231604
       80000 -19.576327
       90000 -17.690788
      100000 -18.256374
      110000 -17.687723
      120000 -18.969930
      130000 -24.723506
      140000 -20.197383
      150000 -24.477899
      160000 -24.503968
      170000 -27.487163
      180000 -29.495736
      190000 -30.436452
      200000 -32.494347
