           0   0.000000
       10000   0.000000
       20000   0.000000
       30000   0.000000
       40000  -0.003016
       50000  -0.007990
       60000  -0.000003
       70000   0.000000
       80000  -1.345005
       90000  -0.000031
      100000  -1.365650
      110000  -5.595598
      120000  -8.058977
      130000  -8.674893
      140000  -8.043883
      150000 -10.301413
      160000 -18.068407
      170000 -17.710939
      180000 -16.679830
      190000 -17.367311
      200000 -16.799963
